Contract Name,"GPT Oss 120b","GPT Oss 20b API","GPT Oss 20b Local","Grok 4.1 fast non-reasoning","Grok 4.1 fast reasoning","Devstral","Magistral Medium","Magistral 24b API","Devstral Small API","Magistral 24b Local","Devstral Small Local","Qwen3 235b thinking","Qwen3 30b thinking API","Qwen3 235b instruct","Qwen3 30b instruct API","DeepSeek Chat","DeepSeek Reasoner","DeepSeek R1 14b Local"
"DeadCode","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP"
"DeadCodeFixed","TN","TN","FP","TN","FP","FP","TN","TN","FP","FP","FP","FP","FP","TN","TN","TN","TN","TN"
"DeadCodeUselessAssignment","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP"
"DeadCodeUselessAssignmentFixed","TN","TN","TN","TN","TN","TN","TN","FP","FP","TN","FP","TN","TN","TN","TN","TN","TN","TN"
"ERC20Indexed","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"ERC20IndexedFixed","TN","TN","TN","TN","TN","TN","TN","TN","FP","TN","FP","TN","TN","TN","FP","TN","TN","TN"
"InadequateOrIncorrectLoggingOrDocumenation","TP","FN","FN","FN","TP","TP","TP","TP","TP","TP","FN","FN","FN","TP","TP","TP","TP","TP"
"InadequateOrIncorrectLoggingOrDocumenationFixed","FP","TN","TN","TN","TN","TN","TN","TN","TN","FP","TN","TN","TN","FP","FP","TN","TN","FP"
"ReasonString","FN","FN","FN","FN","TP","TP","FN","FN","TP","FN","FN","FN","FN","TP","FN","FN","TP","FN"
"ReasonStringFixed","TN","TN","TN","TN","TN","TN","TN","TN","FP","TN","TN","TN","TN","TN","FP","TN","TN","TN"
"ReasonStringRevert","FN","FN","FN","FN","FN","FN","TP","FN","FN","FN","FN","FN","FN","FN","FN","FN","TP","FN"
"ReasonStringRevertFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
