Contract Name,"GPT Oss 120b","GPT Oss 20b API","GPT Oss 20b Local","Grok 4.1 fast non-reasoning","Grok 4.1 fast reasoning","Devstral","Magistral Medium","Magistral 24b API","Devstral Small API","Magistral 24b Local","Devstral Small Local","Qwen3 235b thinking","Qwen3 30b thinking API","Qwen3 235b instruct","Qwen3 30b instruct API","DeepSeek Chat","DeepSeek Reasoner","DeepSeek R1 14b Local"
"ShadowingStateParameter","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","TP","TP","FN"
"ShadowingStateVariableFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"ShadowingStateVariable","FN","FN","TP","FN","FN","FN","FN","FN","FN","FN","FN","TP","FN","FN","FN","TP","TP","FN"
"DeadCodeFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"DeadCodeUselessAssignmentFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"DeadCodeUselessAssignment","FN","FN","FN","FN","FN","TP","FN","TP","TP","TP","TP","FN","FN","TP","TP","TP","TP","TP"
"DeadCode","FN","FN","FN","TP","FN","TP","FN","FN","TP","TP","TP","FN","FN","FN","FN","FN","FN","FN"
"ERC20IndexedFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"ERC20Indexed","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"InadequateOrIncorrectLoggingOrDocumenationFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"InadequateOrIncorrectLoggingOrDocumenation","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"ReasonStringFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","FP"
"ReasonStringRevertFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"ReasonStringRevert","FN","FN","FN","FN","FN","FN","FN","FN","FN","TP","TP","FN","FN","FN","FN","FN","FN","FN"
"ReasonString","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
