Contract Name,"GPT Oss 120b","GPT Oss 20b API","GPT Oss 20b Local","Grok 4.1 fast non-reasoning","Grok 4.1 fast reasoning","Devstral","Magistral Medium","Magistral 24b API","Devstral Small API","Magistral 24b Local","Devstral Small Local","Qwen3 235b thinking","Qwen3 30b thinking API","Qwen3 235b instruct","Qwen3 30b instruct API","DeepSeek Chat","DeepSeek Reasoner","DeepSeek R1 14b Local"
"ReentrancySimpleLockFixed","TN","FP","TN","FP","FP","FP","FP","FP","FP","FP","TN","TN","TN","FP","FP","FP","TN","FP"
"ReentrancySimpleLockModifierFixed","TN","TN","TN","FP","TN","FP","FP","FP","FP","TN","TN","FP","TN","FP","TN","FP","TN","FP"
"ReentrancySimpleLockModifier","FN","TP","FN","TP","TP","TP","TP","FN","TP","FN","FN","TP","TP","TP","FN","TP","TP","TP"
"ReentrancySimpleLock","TP","TP","TP","TP","TP","TP","FN","FN","FN","FN","FN","TP","TP","TP","TP","TP","TP","TP"
"ReentrancySimple","FN","TP","TP","TP","TP","TP","TP","FN","TP","FN","FN","TP","TP","TP","TP","TP","TP","TP"
"DepositContractFixed","FP","FP","TN","FP","TN","FP","FP","FP","FP","FP","FP","FP","FP","FP","FP","FP","FP","FP"
"DepositContract","TP","FN","FN","TP","TP","TP","TP","TP","TP","TP","TP","TP","FN","TP","TP","TP","TP","FN"
"CallToUnknownFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","FP","FP","TN","TN","TN"
"CallToUnknownSimpleFixed","TN","TN","TN","FP","TN","FP","TN","TN","TN","TN","TN","TN","TN","FP","TN","TN","TN","TN"
"CallToUnknownSimple","TP","FN","FN","TP","FN","FN","FN","FN","FN","FN","FN","TP","FN","TP","FN","TP","FN","FN"
"CallToUnknown","FN","FN","FN","FN","FN","TP","FN","FN","FN","FN","FN","FN","FN","TP","TP","FN","FN","FN"
"StrictBalanceEqualityFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"StrictBalanceEqualityRequireFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"StrictBalanceEqualityRequire","FN","FN","FN","TP","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"StrictBalanceEqualityTokenFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"StrictBalanceEqualityToken","FN","FN","FN","TP","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"StrictBalanceEquality","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","TP","TP","FN","FN","TP","TP","TP"
"ImproperDataValidationFixed","TN","TN","TN","TN","TN","FP","FP","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"ImproperDataValidation","FN","FN","FN","TP","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"MissingZeroAddressValidationFixed","TN","TN","TN","TN","TN","FP","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"MissingZeroAddressValidation","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"VulnerableDelegateCALLFixed","TN","TN","FP","FP","FP","FP","FP","FP","FP","TN","FP","FP","FP","FP","FP","FP","FP","FP"
"VulnerableDelegateCALL","FN","FN","FN","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","FN"
"TimestampDependencyFixed","TN","FP","FP","FP","TN","FP","FP","FP","FP","FP","FP","FP","TN","FP","FP","TN","FP","FP"
"TimestampDependency","FN","FN","FN","FN","FN","FN","TP","TP","TP","TP","TP","FN","FN","TP","FN","TP","FN","FN"
"TransactionOrderDependencyFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","FP","TN"
"TransactionOrderDependencyHashFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","FP","TN"
"TransactionOrderDependencyHash","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"TransactionOrderDependency","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","TP","FN"
"BadRandomNumberGenFixed","TN","FP","TN","TN","FP","TN","FP","TN","TN","FP","FP","TN","TN","FP","FP","FP","FP","TN"
"BadRandomNumberGen","FN","FN","TP","TP","TP","FN","FN","FN","FN","FN","FN","TP","FN","TP","FN","TP","TP","TP"
"BlockVariableDependencyFixed","TN","FP","TN","TN","FP","FP","TN","TN","FP","TN","FP","FP","TN","FP","FP","FP","TN","FP"
"BlockVariableDependency","FN","FN","TP","TP","TP","TP","TP","FN","FN","FN","FN","TP","TP","TP","TP","TP","TP","TP"
"ImproperPrivateVariableSecretFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"ImproperPrivateVariableSecretMinimalFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"ImproperPrivateVariableSecretMinimal","FN","FN","FN","FN","TP","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"ImproperPrivateVariableSecret","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"UnpredictableStateDynamicLibrariesFixed","TN","FP","TN","FP","FP","TN","TN","TN","TN","TN","FP","TN","TN","FP","TN","TN","TN","TN"
"UnpredictableStateDynamicLibraries","FN","FN","FN","FN","FN","FN","FN","TP","FN","FN","FN","FN","FN","TP","FN","FN","FN","FN"
"BlockhashDependencyFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"BlockhashDependency","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","TP","FN","FN","FN","FN"
"CallReturnValueNotCheckedFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"CallReturnValueNotCheckedHiddenFixed","TN","TN","TN","TN","TN","FP","FP","TN","FP","TN","TN","TN","TN","TN","TN","FP","TN","TN"
"CallReturnValueNotCheckedHidden","FN","FN","FN","FN","FN","TP","TP","FN","TP","FN","FN","FN","FN","FN","FN","TP","FN","FN"
"CallReturnValueNotChecked","FN","FN","TP","FN","TP","FN","TP","FN","FN","FN","FN","FN","FN","FN","TP","TP","FN","FN"
"SendReturnValueNotCheckedFixed","TN","FP","TN","FP","TN","TN","TN","TN","TN","FP","TN","TN","TN","TN","TN","FP","TN","TN"
"SendReturnValueNotCheckedHiddenFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","FP","TN","TN","TN","FP","TN","FP","TN","TN"
"SendReturnValueNotCheckedHidden","TP","FN","TP","TP","TP","FN","FN","FN","TP","TP","TP","FN","FN","FN","TP","TP","TP","FN"
"SendReturnValueNotCheckedInconsistentFixed","TN","TN","TN","FP","TN","TN","TN","FP","TN","FP","TN","TN","TN","TN","TN","FP","TN","TN"
"SendReturnValueNotCheckedInconsistent","FN","FN","FN","TP","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","TP","FN","FN"
"SendReturnValueNotChecked","FN","FN","FN","TP","TP","FN","FN","FN","FN","TP","FN","FN","FN","TP","FN","TP","TP","FN"
"ValueNotCheckedFixed","TN","TN","TN","FP","TN","TN","TN","TN","TN","FP","TN","TN","TN","TN","FP","TN","TN","TN"
"ValueNotChecked","TP","FN","FN","TP","FN","FN","FN","FN","FN","FN","FN","FN","FN","TP","TP","TP","FN","FN"
"MishandledOutOfGasExceptionFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"MishandledOutOfGasException","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"LockedEtherFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"LockedEther","TP","FN","FN","TP","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"EtherLostInTransferFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","FP","TN","TN","TN","TN"
"EtherLostInTransfer","FN","FN","FN","TP","FN","FN","FN","FN","FN","FN","FN","FN","FN","TP","FN","FN","FN","FN"
"EtherLostSimpleFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"EtherLostSimple","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"DenialOfServiceGasLimitBetsFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"DenialOfServiceGasLimitBets","TP","FN","FN","FN","FN","FN","TP","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"DenialOfServiceGasLimitFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"DenialOfServiceGasLimit","FN","FN","FN","TP","FN","FN","FN","FN","FN","FN","FN","TP","FN","FN","FN","FN","FN","FN"
"DenialOfServiceLoopFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"DenialOfServiceLoop","FN","FN","FN","FN","TP","FN","FN","FN","FN","FN","FN","FN","FN","TP","FN","FN","FN","FN"
"InsufficientGasGriefingFixed","TN","TN","TN","FP","TN","FP","FP","FP","TN","FP","FP","FP","TN","FP","TN","FP","FP","TN"
"InsufficientGasGriefing","FN","FN","FN","FN","TP","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"GasCostlyLoopsFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"GasCostlyLoops","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"ComplexFallbackFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"ComplexFallback","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"GasCostlyPatternStateVariableComputationsFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"GasCostlyPatternStateVariableComputations","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"HighGasConsumptionDataTypeFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"HighGasConsumptionDataType","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"HighConsumptionFunctionTypeFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"HighConsumptionFunctionType","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"UnderPricedOpcodesFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"UnderPricedOpcodes","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"TransactionOriginAuthFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"TransactionOriginAuth","FN","FN","FN","FN","TP","FN","FN","FN","FN","TP","TP","TP","FN","FN","FN","TP","TP","FN"
"DefaultAccessModifierSimpleFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","FP","TN","TN","TN","TN","TN","TN","TN"
"DefaultAccessModifierSimple","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"DefaultAccessModifierVariableFixed","TN","TN","TN","FP","TN","TN","TN","FP","TN","FP","FP","TN","TN","TN","FP","FP","TN","TN"
"DefaultAccessModifierVariable","FN","FN","FN","TP","FN","TP","TP","FN","FN","FN","TP","FN","FN","FN","FN","TP","FN","FN"
"UnInitializedConditionStateVariableFixed","TN","FP","TN","FP","TN","TN","FP","TN","FP","TN","FP","TN","TN","FP","TN","FP","TN","FP"
"UnInitializedConditionStateVariable","FN","FN","FN","TP","FN","TP","TP","TP","TP","FN","TP","FN","FN","FN","FN","TP","FN","FN"
"UnprotectedSelfdestructFixed","TN","FP","TN","FP","TN","TN","FP","TN","FP","FP","FP","TN","TN","TN","TN","FP","TN","TN"
"UnprotectedSelfdestruct","FN","FN","TP","TP","TP","TP","TP","FN","TP","TP","TP","TP","TP","TP","FN","TP","TP","TP"
"UnprotectedTransferFixed","TN","TN","TN","FP","TN","TN","TN","TN","TN","TN","TN","TN","FP","FP","TN","FP","TN","TN"
"UnprotectedTransfer","FN","FN","TP","TP","TP","FN","TP","FN","FN","FN","FN","FN","FN","FN","TP","FN","FN","FN"
"SignatureBasedVulnerabilityFixed","TN","TN","TN","TN","TN","FP","TN","TN","TN","TN","TN","TN","TN","FP","TN","FP","FP","FP"
"SignatureBasedVulnerability","FN","FN","FN","TP","FN","TP","FN","TP","FN","FN","FN","TP","FN","FN","TP","TP","TP","TP"
"SignatureMaleabilityFixed","TN","TN","TN","TN","TN","FP","FP","TN","FP","TN","TN","TN","TN","TN","FP","FP","FP","TN"
"SignatureMaleability","FN","FN","FN","TP","FN","TP","TP","TP","FN","FN","FN","FN","FN","TP","TP","TP","FN","FN"
"UInt8OverflowFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","FP","TN"
"UInt8Overflow","FN","FN","FN","TP","FN","FN","FN","FN","TP","FN","TP","FN","FN","TP","FN","FN","TP","FN"
"DivideByZeroDirectFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"DivideByZeroDirect","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"DivideByZeroMinimalFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"DivideByZeroMinimal","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"PossibleDivisionByZeroArrayElementFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"PossibleDivisionByZeroArrayElement","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"PossibleDivisionByZeroArrayLengthFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"PossibleDivisionByZeroArrayLength","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"PossibleDivisionByZeroFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"PossibleDivisionByZeroMappingElementFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"PossibleDivisionByZeroMappingElement","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"PossibleDivisionByZero","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"IntegerDivisionReminderFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"IntegerDivisionReminder","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"UnmatchedTypeFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"UnmatchedType","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","TP","FN","FN","FN","FN"
"AccidentalTypoFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"AccidentalTypo","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"ChecksEffectsInteractionsSendFixed","FP","TN","TN","FP","TN","FP","FP","FP","FP","FP","FP","TN","TN","FP","FP","FP","TN","FP"
"ChecksEffectsInteractionsSend","FN","TP","FN","TP","FN","TP","TP","FN","TP","TP","TP","TP","FN","TP","TP","TP","FN","TP"
"ChecksEffectsInteractionsTransferFixed","TN","TN","TN","FP","TN","FP","FP","FP","FP","FP","FP","FP","FP","FP","FP","FP","TN","TN"
"ChecksEffectsInteractionsTransfer","FN","TP","FN","TP","TP","TP","TP","TP","TP","TP","TP","TP","FN","TP","TP","TP","TP","TP"
"FunctionOrderFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"FunctionOrder","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"StringQuotesFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"StringQuotes","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"DeprecatedFunctionsFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"DeprecatedFunctions","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"UseOfAssemblyFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"UseOfAssembly","FN","FN","FN","FN","FN","FN","TP","FN","TP","FN","TP","FN","FN","TP","FN","FN","FN","FN"
"MultipleInheritanceConstructorOrderFixed","TN","TN","TN","FP","FP","TN","FP","TN","FP","FP","TN","TN","TN","FP","TN","TN","TN","TN"
"MultipleInheritanceConstructorOrder","FN","FN","FN","TP","FN","TP","FN","FN","TP","TP","FN","FN","FN","FN","FN","FN","TP","FN"
"ShadowingParameterVariableFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"ShadowingParameterVariable","FN","FN","TP","TP","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","TP","FN"
"ShadowingStateConstructorParamFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"ShadowingStateConstructorParam","FN","FN","TP","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","TP","TP","FN"
"ShadowingStateParameterFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"ShadowingStateParameter","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","TP","TP","FN"
"ShadowingStateVariableFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"ShadowingStateVariable","FN","FN","TP","FN","FN","FN","FN","FN","FN","FN","FN","TP","FN","FN","FN","TP","TP","FN"
"DeadCodeFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"DeadCodeUselessAssignmentFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"DeadCodeUselessAssignment","FN","FN","FN","FN","FN","TP","FN","TP","TP","TP","TP","FN","FN","TP","TP","TP","TP","TP"
"DeadCode","FN","FN","FN","TP","FN","TP","FN","FN","TP","TP","TP","FN","FN","FN","FN","FN","FN","FN"
"ERC20IndexedFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"ERC20Indexed","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"InadequateOrIncorrectLoggingOrDocumenationFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"InadequateOrIncorrectLoggingOrDocumenation","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"ReasonStringFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","FP"
"ReasonStringRevertFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"ReasonStringRevert","FN","FN","FN","FN","FN","FN","FN","FN","FN","TP","TP","FN","FN","FN","FN","FN","FN","FN"
"ReasonString","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"ShortAddressFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"ShortAddress","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"OutdatedCompilerVersionFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"OutdatedCompilerVersion","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"FloatingPragmaFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"FloatingPragma","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"NoPragmaFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"NoPragma","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"ERC20ReturnTypeViolationFixed","TN","FP","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"ERC20ReturnTypeViolation","FN","TP","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"HardcodedGasLimitFixed","TN","TN","TN","TN","FP","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","FP","TN","TN"
"HardcodedGasLimit","FN","FN","TP","FN","FN","TP","FN","FN","FN","TP","FN","TP","FN","FN","FN","FN","FN","FN"
"ErroneousConstructorName","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","TP","FN","FN","FN","FN"
